10	27182704	27741793	auts2a
10	43797130	43808197	nr2f1b
11	16329776	16395956	lrig1
11	37768298	37831776	sox13
1	22943551	23157583	adgrl3.1
12	30977736	31103906	tcf7l2
12	36971952	37006301	hs3st3b1b
1	26356205	26402046	tet2
13	10980755	11072964	cep170aa
13	13213567	13294872	fgfr3
13	23488282	23612369	prim2
14	16068318	16082806	mxd3
15	18253542	18361475	zbtb16b
15	18368809	18574716	ncam1b
15	28685625	28766824	nova2
15	39277099	39820491	robo1
15	4421797	4528387	tfdp2
16	16849220	16945650	myh14
16	18608978	18960613	fhod3b
16	21547583	21620949	ddr1
16	35661331	35776074	map7d1a
16	39271123	39386073	osbpl10b
16	42319438	42390640	cspg5a
16	51084472	51151993	ago1
17	17914369	18025691	ccdc85ca
17	30369107	30418016	greb1
18	20225961	20257511	tle3a
18	22793465	22975655	gnao1a
18	23868650	24023013	nr2f2
18	25027495	25051846	st8sia2
18	33981474	34143189	plch1
18	40525408	40540703	vwa7
19	32048379	32150214	pag1
19	3653976	3707794	nedd9
19	47564890	47571808	rrm2
20	21391181	21475620	jag2b
20	23972948	24122881	bach2b
20	29492469	29499426	rrm2
21	4766244	4849056	notch1a
22	11144153	11200846	bcor
22	18725101	18749313	midn
22	20246587	20309283	mbd3b
2	25657958	25817227	tnika
2	26303627	26444503	efna2a
2	27010439	27094653	cdh7a
23	11285662	11452312	chl1a
2	33051730	33216740	rnf220a
23	44349252	44401223	ephb4b
24	23241444	23323526	zfhx4
24	37941618	37955993	metrn
2	44301276	44344321	lig1
24	6513843	6647275	arhgap21a
25	19753890	19869495	celsr1b
25	25453221	25502640	rassf7a
25	7872135	7880878	mdkb
3	31792441	31804481	gfap
3	41917499	41926869	lfng
3	53526025	53559581	notch3
4	12612145	12679293	lmo3
4	16649542	16706978	dennd5b
5	17624463	17753961	fbrsl1
5	36271016	36328688	efnb1
5	48683447	48940127	adgrv1
5	52039067	52132978	setbp1
5	65679595	65782785	notch1b
6	15751982	15757867	ackr3b
6	43076516	43092175	lrrn1
6	44812444	44977428	chl1b
6	57900237	58149165	tox2
7	16576246	16598212	e2f8
7	16806473	17015002	nav2a
7	28569266	28611145	scube2
7	36898622	36969256	tox3
7	37582281	37622370	nkd1
7	40228422	40499386	ptprn2
7	49324103	49595067	brsk2b
7	57886148	58130703	ank2b
7	61578660	61683423	lrch4
8	18565904	18582922	tmem47
8	20072987	20138251	rfx2
8	29962635	30068277	ptch1
8	29963024	29966285	ptch1
8	42998944	43049069	rassf2a
8	4697764	4699320	cldn5a
9	26103814	26127305	efnb2a
9	38883388	38993033	map2
9	48415043	48672254	lrp2a
9	54751201	54840209	gpm6bb
